"","Date","Seed","Learner","Hyper_Parameter","Imputing","Time","Resampling_folds","CV_Score","Comment","DistrictSplit","District","Combined_Score"
"317",2024-02-20,442120,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 737, learning_rate = 0.0286024596914649, depth = 10, random_strength = 0.920956822577864, grow_policy = ""Depthwise"")","hot deck",52.9400000000023,5,232.593907046585,"feature selection",TRUE,"jamui","315.02296027409"
"318",2024-02-20,442120,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 571, learning_rate = 0.0752068541408517, depth = 10, random_strength = 0.867462414549664, grow_policy = ""Depthwise"")","hot deck",41.179999999993,5,321.841484114758,"feature selection",TRUE,"nalanda","315.02296027409"
"319",2024-02-20,442120,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 700, learning_rate = 0.0577002627204638, depth = 10, random_strength = 1.42929238895886, grow_policy = ""SymmetricTree"")","hot deck",39.7900000000373,5,403.711070531864,"feature selection",TRUE,"vaishali","315.02296027409"
"320",2024-02-20,442125,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 389, learning_rate = 0.0124054294638336, depth = 8, random_strength = 0.883602134883404, grow_policy = ""Depthwise"")","hot deck",3.44000000000233,5,273.065038626392,"feature selection",TRUE,"gaya","301.127213025859"
"321",2024-02-20,442125,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 685, learning_rate = 0.0293914480041713, depth = 13, random_strength = 1.21399480127729, grow_policy = ""Depthwise"")","hot deck",87.7700000000186,5,232.744437896298,"feature selection",TRUE,"jamui","301.127213025859"
"322",2024-02-20,442125,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 185, learning_rate = 0.0539995326288044, depth = 10, random_strength = 0.72844775300473, grow_policy = ""Depthwise"")","hot deck",14.0699999999488,5,313.656007679542,"feature selection",TRUE,"nalanda","301.127213025859"
"323",2024-02-20,442125,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 628, learning_rate = 0.0658966221031733, depth = 10, random_strength = 1.40378739777952, grow_policy = ""SymmetricTree"")","hot deck",32.460000000021,5,367.090059110275,"feature selection",TRUE,"vaishali","301.127213025859"
"324",2024-02-20,442131,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 236, learning_rate = 0.06058327679988, depth = 6, random_strength = 0.55137293995358, grow_policy = ""SymmetricTree"")","hot deck",0.409999999974389,5,270.780818897686,"feature selection",TRUE,"gaya","306.226001648589"
"325",2024-02-20,442131,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 748, learning_rate = 0.0338304277299903, depth = 14, random_strength = 0.883966476889327, grow_policy = ""Depthwise"")","hot deck",112.619999999995,5,236.443193888613,"feature selection",TRUE,"jamui","306.226001648589"
"326",2024-02-20,442131,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 484, learning_rate = 0.153743985584006, depth = 6, random_strength = 1.44911832734942, grow_policy = ""Depthwise"")","hot deck",12.5299999999697,5,319.781295808761,"feature selection",TRUE,"nalanda","306.226001648589"
"327",2024-02-20,442131,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 653, learning_rate = 0.0360692529799417, depth = 12, random_strength = 0.936622105073184, grow_policy = ""SymmetricTree"")","hot deck",48.3300000000163,5,375.73000343365,"feature selection",TRUE,"vaishali","306.226001648589"
"328",2024-02-20,442138,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 389, learning_rate = 0.0531088739307597, depth = 10, random_strength = 0.959609665675089, grow_policy = ""Depthwise"")","hot deck",5.3399999999674,5,282.531193826384,"feature selection",TRUE,"gaya","306.168756813885"
"329",2024-02-20,442138,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 456, learning_rate = 0.0342603237042204, depth = 12, random_strength = 1.1821655081585, grow_policy = ""Depthwise"")","hot deck",46.070000000007,5,230.009995918277,"feature selection",TRUE,"jamui","306.168756813885"
"330",2024-02-20,442138,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 436, learning_rate = 0.0928635737858713, depth = 9, random_strength = 0.868179199984297, grow_policy = ""Depthwise"")","hot deck",22.7200000000303,5,321.030475804517,"feature selection",TRUE,"nalanda","306.168756813885"
"331",2024-02-20,442138,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 689, learning_rate = 0.0405049676110502, depth = 12, random_strength = 1.43536546221003, grow_policy = ""SymmetricTree"")","hot deck",45.7600000000093,5,373.706310931354,"feature selection",TRUE,"vaishali","306.168756813885"
"332",2024-02-20,442146,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 498, learning_rate = 0.0676857332326472, depth = 6, random_strength = 0.578813015017658, grow_policy = ""Depthwise"")","hot deck",1.46000000002095,5,302.629234938331,"feature selection",TRUE,"gaya","309.185959020257"
"333",2024-02-20,442146,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 702, learning_rate = 0.0495382125861943, depth = 11, random_strength = 0.759354889160022, grow_policy = ""Depthwise"")","hot deck",49.070000000007,5,239.305108890946,"feature selection",TRUE,"jamui","309.185959020257"
"334",2024-02-20,442146,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 277, learning_rate = 0.028987633686047, depth = 9, random_strength = 0.699477661866695, grow_policy = ""Depthwise"")","hot deck",13.3699999999953,5,320.185089794369,"feature selection",TRUE,"nalanda","309.185959020257"
